country_code,country,year,gva_industry_meur,gva_manufacturing_meur,gva_total_meur,industry_share_pct,manufacturing_share_pct,industry_yoy_growth_pct,ppi_index_2015,ppi_inflation_pct,carbon_price_eur_tonne,ets_phase,msr_active,high_price_regime,price_regime,total_ghg_mt_co2eq,emissions_yoy_pct,reduction_from_2010_pct,verified_emissions_mt,free_allocation_ratio_pct,free_allowances_mt,net_purchase_required_mt,carbon_intensity_gco2_kwh,carbon_intensity_t_per_meur,effective_carbon_cost_meur,carbon_cost_burden_pct,gva_industry_real_meur,gva_total_real_meur,industry_growth_pct,gdp_growth_pct,decoupling_index,covid_period,energy_crisis,ets_phase_3,ets_phase_4,carbon_price_lag1,carbon_price_lag2,ln_gva_industry,ln_gva_total,ln_carbon_price,ln_emissions
DE,Germany,2010,617890.8,544972.8,2534283.9,24.38,21.5,,92.3,,14.32,2,0,0,Medium (€10-50),941,,0.0,453,105,475.65,0.0,461,1522.92,0.0,0.0,669437.49,2745703.03,,,,0,0,0,0,,,13.3341,14.7454,2.6617,6.8469
DE,Germany,2011,650943.3,594104.7,2629245.3,24.76,22.6,5.349246177479894,97.5,5.633802816901401,13.82,2,0,0,Medium (€10-50),928,-1.381509032943673,-1.38,450,103,463.5,0.0,468,1425.62,0.0,0.0,667634.15,2696661.85,5.35,3.75,5.13,0,0,0,0,14.32,,13.3862,14.7822,2.6261,6.833
DE,Germany,2012,653401.7,583777.2,2642528.6,24.73,22.09,0.3776673022058752,99.2,1.7435897435897465,7.34,2,0,0,Low (<€10),928,0.0,-1.38,452,98,442.96,9.04,484,1420.26,66.35359999999999,0.01,658671.07,2663839.31,0.38,0.51,0.51,0,0,0,0,13.82,14.32,13.3899,14.7872,1.9933,6.833
DE,Germany,2013,645616.6,583471.7,2654681.4,24.32,21.98,-1.1914722597140437,99.0,-0.2016129032258118,4.46,3,0,0,Low (<€10),948,2.155172413793105,0.74,481,85,408.85,72.15,489,1468.36,321.78900000000004,0.05,652137.98,2681496.36,-1.19,0.46,-1.7,0,0,1,0,7.34,13.82,13.378,14.7918,1.4951,6.8544
DE,Germany,2014,675869.3,615920.7,2714315.0,24.9,22.69,4.685861546930492,98.5,-0.5050505050505083,5.96,3,0,0,Low (<€10),905,-4.535864978902948,-3.83,461,82,378.02,82.98,471,1339.02,494.56080000000003,0.07,686161.73,2755649.75,4.69,2.25,6.79,0,0,1,0,4.46,7.34,13.4238,14.8141,1.7851,6.8079
DE,Germany,2015,684747.0,621665.0,2753317.0,24.87,22.58,1.3135231915401224,100.0,1.522842639593902,7.68,3,0,0,Low (<€10),906,0.1104972375690627,-3.72,456,80,364.8,91.2,468,1323.12,700.4159999999999,0.1,684747.0,2753317.0,1.31,1.44,1.33,0,0,1,0,5.96,4.46,13.4368,14.8283,2.0386,6.809
DE,Germany,2016,711585.1,645864.3,2816907.3,25.26,22.93,3.919418412932063,97.8,-2.200000000000002,5.35,3,0,0,Low (<€10),909,0.3311258278145601,-3.4,453,78,353.34,99.66,453,1277.43,533.1809999999999,0.07,727592.13,2880273.31,3.92,2.31,1.98,0,0,1,0,7.68,5.96,13.4753,14.8512,1.6771,6.8123
DE,Germany,2017,736715.9,667252.5,2898585.4,25.42,23.02,3.531664729910733,100.3,2.556237218813906,5.83,3,0,0,Low (<€10),904,-0.5500550055005493,-3.93,438,75,328.5,109.5,436,1227.07,638.385,0.09,734512.36,2889915.65,3.53,2.9,3.45,0,0,1,0,5.35,7.68,13.51,14.8797,1.763,6.8068
DE,Germany,2018,744159.6,675624.5,2933913.3,25.36,23.03,1.0103894866392735,103.1,2.791625124626118,15.83,3,0,0,Medium (€10-50),865,-4.314159292035402,-8.08,422,72,303.84,118.16,422,1162.39,1870.4728,0.25,721784.29,2845696.7,1.01,1.22,5.53,0,0,1,0,5.83,5.35,13.52,14.8918,2.7619,6.7627
DE,Germany,2019,737467.1,666152.6,2953979.6,24.97,22.55,-0.8993366476761189,103.8,0.678952473326877,24.84,3,1,0,Medium (€10-50),809,-6.473988439306355,-14.03,364,70,254.8,109.2,369,1097.0,2712.5280000000002,0.37,710469.27,2845837.76,-0.9,0.68,7.15,0,0,1,0,15.83,5.83,13.511,14.8987,3.2125,6.6958
